YEAR,OCC1950,MARST,mariageStatusCount,Count,percent,MaritalStatus,Profession
1920,96,6,5,13,38.46153846,Never married/single,Technicians (nec)
1930,96,1,68,123,55.28455285,"Married, spouse present",Technicians (nec)
1930,96,2,4,123,3.25203252,"Married, spouse absent",Technicians (nec)
1930,96,4,2,123,1.62601626,Divorced,Technicians (nec)
1930,96,5,9,123,7.317073171,Widowed,Technicians (nec)
1930,96,6,40,123,32.5203252,Never married/single,Technicians (nec)
1940,96,1,58,86,67.44186047,"Married, spouse present",Technicians (nec)
1940,96,2,2,86,2.325581395,"Married, spouse absent",Technicians (nec)
1940,96,4,3,86,3.488372093,Divorced,Technicians (nec)
1940,96,5,2,86,2.325581395,Widowed,Technicians (nec)
1940,96,6,21,86,24.41860465,Never married/single,Technicians (nec)
1950,96,1,217,314,69.10828025,"Married, spouse present",Technicians (nec)
1950,96,2,8,314,2.547770701,"Married, spouse absent",Technicians (nec)
1950,96,3,2,314,0.636942675,Separated,Technicians (nec)
1950,96,4,8,314,2.547770701,Divorced,Technicians (nec)
1950,96,5,2,314,0.636942675,Widowed,Technicians (nec)
1950,96,6,77,314,24.52229299,Never married/single,Technicians (nec)
1960,96,1,6554,9087,72.12501376,"Married, spouse present",Technicians (nec)
1960,96,2,98,9087,1.078463739,"Married, spouse absent",Technicians (nec)
1960,96,3,77,9087,0.847364367,Separated,Technicians (nec)
1960,96,4,172,9087,1.89281391,Divorced,Technicians (nec)
1960,96,5,111,9087,1.221525256,Widowed,Technicians (nec)
1960,96,6,2075,9087,22.83481897,Never married/single,Technicians (nec)
1970,96,1,3211,4279,75.04089741,"Married, spouse present",Technicians (nec)
1970,96,2,56,4279,1.30871699,"Married, spouse absent",Technicians (nec)
1970,96,3,67,4279,1.565786399,Separated,Technicians (nec)
1970,96,4,154,4279,3.598971722,Divorced,Technicians (nec)
1970,96,5,51,4279,1.191867259,Widowed,Technicians (nec)
1970,96,6,740,4279,17.29376022,Never married/single,Technicians (nec)
1980,96,1,9091,14260,63.75175316,"Married, spouse present",Technicians (nec)
1980,96,2,126,14260,0.883590463,"Married, spouse absent",Technicians (nec)
1980,96,3,280,14260,1.963534362,Separated,Technicians (nec)
1980,96,4,986,14260,6.914446003,Divorced,Technicians (nec)
1980,96,5,132,14260,0.925666199,Widowed,Technicians (nec)
1980,96,6,3645,14260,25.56100982,Never married/single,Technicians (nec)
1990,96,1,12945,20363,63.57118303,"Married, spouse present",Technicians (nec)
1990,96,2,190,20363,0.933064873,"Married, spouse absent",Technicians (nec)
1990,96,3,358,20363,1.758090655,Separated,Technicians (nec)
1990,96,4,1824,20363,8.957422777,Divorced,Technicians (nec)
1990,96,5,182,20363,0.893777931,Widowed,Technicians (nec)
1990,96,6,4864,20363,23.88646074,Never married/single,Technicians (nec)
2000,96,1,16682,26853,62.12341265,"Married, spouse present",Technicians (nec)
2000,96,2,461,26853,1.71675418,"Married, spouse absent",Technicians (nec)
2000,96,3,524,26853,1.951364838,Separated,Technicians (nec)
2000,96,4,3044,26853,11.33579116,Divorced,Technicians (nec)
2000,96,5,354,26853,1.318288459,Widowed,Technicians (nec)
2000,96,6,5788,26853,21.55438871,Never married/single,Technicians (nec)
2001,96,1,1607,2576,62.38354037,"Married, spouse present",Technicians (nec)
2001,96,2,31,2576,1.203416149,"Married, spouse absent",Technicians (nec)
2001,96,3,39,2576,1.513975155,Separated,Technicians (nec)
2001,96,4,300,2576,11.64596273,Divorced,Technicians (nec)
2001,96,5,32,2576,1.242236025,Widowed,Technicians (nec)
2001,96,6,567,2576,22.01086957,Never married/single,Technicians (nec)
2002,96,1,1394,2217,62.87776274,"Married, spouse present",Technicians (nec)
2002,96,2,24,2217,1.082543978,"Married, spouse absent",Technicians (nec)
2002,96,3,37,2217,1.668921967,Separated,Technicians (nec)
2002,96,4,277,2217,12.49436175,Divorced,Technicians (nec)
2002,96,5,43,2217,1.939557961,Widowed,Technicians (nec)
2002,96,6,442,2217,19.9368516,Never married/single,Technicians (nec)
2003,96,1,1489,2364,62.98646362,"Married, spouse present",Technicians (nec)
2003,96,2,32,2364,1.353637902,"Married, spouse absent",Technicians (nec)
2003,96,3,46,2364,1.945854484,Separated,Technicians (nec)
2003,96,4,270,2364,11.4213198,Divorced,Technicians (nec)
2003,96,5,45,2364,1.903553299,Widowed,Technicians (nec)
2003,96,6,482,2364,20.3891709,Never married/single,Technicians (nec)
2004,96,1,1531,2352,65.09353741,"Married, spouse present",Technicians (nec)
2004,96,2,31,2352,1.318027211,"Married, spouse absent",Technicians (nec)
2004,96,3,25,2352,1.06292517,Separated,Technicians (nec)
2004,96,4,259,2352,11.01190476,Divorced,Technicians (nec)
2004,96,5,38,2352,1.615646259,Widowed,Technicians (nec)
2004,96,6,468,2352,19.89795918,Never married/single,Technicians (nec)
2005,96,1,3293,5242,62.81953453,"Married, spouse present",Technicians (nec)
2005,96,2,69,5242,1.316291492,"Married, spouse absent",Technicians (nec)
2005,96,3,83,5242,1.583365128,Separated,Technicians (nec)
2005,96,4,655,5242,12.49523083,Divorced,Technicians (nec)
2005,96,5,75,5242,1.430751622,Widowed,Technicians (nec)
2005,96,6,1067,5242,20.3548264,Never married/single,Technicians (nec)
2006,96,1,3333,5340,62.41573034,"Married, spouse present",Technicians (nec)
2006,96,2,72,5340,1.348314607,"Married, spouse absent",Technicians (nec)
2006,96,3,89,5340,1.666666667,Separated,Technicians (nec)
2006,96,4,619,5340,11.5917603,Divorced,Technicians (nec)
2006,96,5,76,5340,1.423220974,Widowed,Technicians (nec)
2006,96,6,1151,5340,21.55430712,Never married/single,Technicians (nec)
2007,96,1,3396,5409,62.78424847,"Married, spouse present",Technicians (nec)
2007,96,2,65,5409,1.201700869,"Married, spouse absent",Technicians (nec)
2007,96,3,82,5409,1.515991865,Separated,Technicians (nec)
2007,96,4,649,5409,11.99852098,Divorced,Technicians (nec)
2007,96,5,82,5409,1.515991865,Widowed,Technicians (nec)
2007,96,6,1135,5409,20.98354594,Never married/single,Technicians (nec)
2008,96,1,3568,5615,63.54407836,"Married, spouse present",Technicians (nec)
2008,96,2,98,5615,1.745325022,"Married, spouse absent",Technicians (nec)
2008,96,3,79,5615,1.406945681,Separated,Technicians (nec)
2008,96,4,637,5615,11.34461264,Divorced,Technicians (nec)
2008,96,5,81,5615,1.442564559,Widowed,Technicians (nec)
2008,96,6,1152,5615,20.51647373,Never married/single,Technicians (nec)
2009,96,1,3361,5345,62.88119738,"Married, spouse present",Technicians (nec)
2009,96,2,74,5345,1.384471469,"Married, spouse absent",Technicians (nec)
2009,96,3,83,5345,1.552853134,Separated,Technicians (nec)
2009,96,4,617,5345,11.5434986,Divorced,Technicians (nec)
2009,96,5,77,5345,1.44059869,Widowed,Technicians (nec)
2009,96,6,1133,5345,21.19738073,Never married/single,Technicians (nec)
2010,96,1,3325,5382,61.78000743,"Married, spouse present",Technicians (nec)
2010,96,2,58,5382,1.077666295,"Married, spouse absent",Technicians (nec)
2010,96,3,84,5382,1.560758082,Separated,Technicians (nec)
2010,96,4,618,5382,11.48272018,Divorced,Technicians (nec)
2010,96,5,94,5382,1.746562616,Widowed,Technicians (nec)
2010,96,6,1203,5382,22.3522854,Never married/single,Technicians (nec)
2011,96,1,3123,5344,58.43937126,"Married, spouse present",Technicians (nec)
2011,96,2,69,5344,1.291167665,"Married, spouse absent",Technicians (nec)
2011,96,3,87,5344,1.627994012,Separated,Technicians (nec)
2011,96,4,645,5344,12.06961078,Divorced,Technicians (nec)
2011,96,5,90,5344,1.684131737,Widowed,Technicians (nec)
2011,96,6,1330,5344,24.88772455,Never married/single,Technicians (nec)
2012,96,1,3064,5183,59.11634189,"Married, spouse present",Technicians (nec)
2012,96,2,65,5183,1.254099942,"Married, spouse absent",Technicians (nec)
2012,96,3,65,5183,1.254099942,Separated,Technicians (nec)
2012,96,4,591,5183,11.40266255,Divorced,Technicians (nec)
2012,96,5,97,5183,1.871502991,Widowed,Technicians (nec)
2012,96,6,1301,5183,25.10129269,Never married/single,Technicians (nec)
2013,96,1,3476,5820,59.72508591,"Married, spouse present",Technicians (nec)
2013,96,2,98,5820,1.683848797,"Married, spouse absent",Technicians (nec)
2013,96,3,70,5820,1.202749141,Separated,Technicians (nec)
2013,96,4,669,5820,11.49484536,Divorced,Technicians (nec)
2013,96,5,103,5820,1.76975945,Widowed,Technicians (nec)
2013,96,6,1404,5820,24.12371134,Never married/single,Technicians (nec)
2014,96,1,3202,5453,58.71997066,"Married, spouse present",Technicians (nec)
2014,96,2,98,5453,1.797175866,"Married, spouse absent",Technicians (nec)
2014,96,3,89,5453,1.632129103,Separated,Technicians (nec)
2014,96,4,641,5453,11.75499725,Divorced,Technicians (nec)
2014,96,5,86,5453,1.577113515,Widowed,Technicians (nec)
2014,96,6,1337,5453,24.51861361,Never married/single,Technicians (nec)
2015,96,1,2946,5057,58.25588293,"Married, spouse present",Technicians (nec)
2015,96,2,74,5057,1.463318173,"Married, spouse absent",Technicians (nec)
2015,96,3,74,5057,1.463318173,Separated,Technicians (nec)
2015,96,4,575,5057,11.37037769,Divorced,Technicians (nec)
2015,96,5,94,5057,1.858809571,Widowed,Technicians (nec)
2015,96,6,1294,5057,25.58829345,Never married/single,Technicians (nec)
2016,96,1,2956,5056,58.46518987,"Married, spouse present",Technicians (nec)
2016,96,2,71,5056,1.404272152,"Married, spouse absent",Technicians (nec)
2016,96,3,79,5056,1.5625,Separated,Technicians (nec)
2016,96,4,559,5056,11.05617089,Divorced,Technicians (nec)
2016,96,5,74,5056,1.463607595,Widowed,Technicians (nec)
2016,96,6,1317,5056,26.04825949,Never married/single,Technicians (nec)
2017,96,1,3108,5334,58.26771654,"Married, spouse present",Technicians (nec)
2017,96,2,98,5334,1.837270341,"Married, spouse absent",Technicians (nec)
2017,96,3,75,5334,1.406074241,Separated,Technicians (nec)
2017,96,4,544,5334,10.19872516,Divorced,Technicians (nec)
2017,96,5,107,5334,2.00599925,Widowed,Technicians (nec)
2017,96,6,1402,5334,26.28421447,Never married/single,Technicians (nec)
2018,96,1,3374,5948,56.72494956,"Married, spouse present",Technicians (nec)
2018,96,2,115,5948,1.933422999,"Married, spouse absent",Technicians (nec)
2018,96,3,73,5948,1.227303295,Separated,Technicians (nec)
2018,96,4,699,5948,11.75184936,Divorced,Technicians (nec)
2018,96,5,113,5948,1.899798252,Widowed,Technicians (nec)
2018,96,6,1574,5948,26.46267653,Never married/single,Technicians (nec)
2019,96,1,3950,6913,57.13872414,"Married, spouse present",Technicians (nec)
2019,96,2,104,6913,1.504411977,"Married, spouse absent",Technicians (nec)
2019,96,3,112,6913,1.620135976,Separated,Technicians (nec)
2019,96,4,760,6913,10.99377984,Divorced,Technicians (nec)
2019,96,5,130,6913,1.880514972,Widowed,Technicians (nec)
2019,96,6,1857,6913,26.8624331,Never married/single,Technicians (nec)
1880,97,1,53,95,55.78947368,"Married, spouse present",Therapists and healers (nec)
1880,97,2,9,95,9.473684211,"Married, spouse absent",Therapists and healers (nec)
1880,97,4,3,95,3.157894737,Divorced,Therapists and healers (nec)
1880,97,5,11,95,11.57894737,Widowed,Therapists and healers (nec)
1880,97,6,19,95,20,Never married/single,Therapists and healers (nec)
1900,97,1,59,163,36.19631902,"Married, spouse present",Therapists and healers (nec)
1900,97,2,13,163,7.975460123,"Married, spouse absent",Therapists and healers (nec)
1900,97,4,5,163,3.067484663,Divorced,Therapists and healers (nec)
1900,97,5,22,163,13.49693252,Widowed,Therapists and healers (nec)
1900,97,6,64,163,39.26380368,Never married/single,Therapists and healers (nec)
1910,97,1,23,54,42.59259259,"Married, spouse present",Therapists and healers (nec)
1910,97,2,2,54,3.703703704,"Married, spouse absent",Therapists and healers (nec)
1910,97,4,2,54,3.703703704,Divorced,Therapists and healers (nec)
1910,97,5,9,54,16.66666667,Widowed,Therapists and healers (nec)
1910,97,6,18,54,33.33333333,Never married/single,Therapists and healers (nec)
1920,97,1,25,63,39.68253968,"Married, spouse present",Therapists and healers (nec)
1920,97,2,4,63,6.349206349,"Married, spouse absent",Therapists and healers (nec)
1920,97,4,2,63,3.174603175,Divorced,Therapists and healers (nec)
1920,97,5,10,63,15.87301587,Widowed,Therapists and healers (nec)
1920,97,6,22,63,34.92063492,Never married/single,Therapists and healers (nec)
1930,97,1,284,631,45.00792393,"Married, spouse present",Therapists and healers (nec)
1930,97,2,49,631,7.765451664,"Married, spouse absent",Therapists and healers (nec)
1930,97,4,24,631,3.803486529,Divorced,Therapists and healers (nec)
1930,97,5,78,631,12.36133122,Widowed,Therapists and healers (nec)
1930,97,6,196,631,31.06180666,Never married/single,Therapists and healers (nec)
1940,97,1,121,210,57.61904762,"Married, spouse present",Therapists and healers (nec)
1940,97,2,14,210,6.666666667,"Married, spouse absent",Therapists and healers (nec)
1940,97,4,10,210,4.761904762,Divorced,Therapists and healers (nec)
1940,97,5,26,210,12.38095238,Widowed,Therapists and healers (nec)
1940,97,6,39,210,18.57142857,Never married/single,Therapists and healers (nec)
1950,97,1,138,209,66.02870813,"Married, spouse present",Therapists and healers (nec)
1950,97,2,1,209,0.4784689,"Married, spouse absent",Therapists and healers (nec)
1950,97,3,1,209,0.4784689,Separated,Therapists and healers (nec)
1950,97,4,10,209,4.784688995,Divorced,Therapists and healers (nec)
1950,97,5,14,209,6.698564593,Widowed,Therapists and healers (nec)
1950,97,6,45,209,21.53110048,Never married/single,Therapists and healers (nec)
1960,97,1,1635,2459,66.49044327,"Married, spouse present",Therapists and healers (nec)
1960,97,2,35,2459,1.423342822,"Married, spouse absent",Therapists and healers (nec)
1960,97,3,25,2459,1.016673444,Separated,Therapists and healers (nec)
1960,97,4,129,2459,5.246034974,Divorced,Therapists and healers (nec)
1960,97,5,134,2459,5.449369662,Widowed,Therapists and healers (nec)
1960,97,6,501,2459,20.37413583,Never married/single,Therapists and healers (nec)
1970,97,1,1335,2078,64.24446583,"Married, spouse present",Therapists and healers (nec)
1970,97,2,29,2078,1.395572666,"Married, spouse absent",Therapists and healers (nec)
1970,97,3,39,2078,1.87680462,Separated,Therapists and healers (nec)
1970,97,4,106,2078,5.10105871,Divorced,Therapists and healers (nec)
1970,97,5,69,2078,3.320500481,Widowed,Therapists and healers (nec)
1970,97,6,500,2078,24.06159769,Never married/single,Therapists and healers (nec)
1980,97,1,6722,11618,57.85849544,"Married, spouse present",Therapists and healers (nec)
1980,97,2,88,11618,0.757445343,"Married, spouse absent",Therapists and healers (nec)
1980,97,3,243,11618,2.091582028,Separated,Therapists and healers (nec)
1980,97,4,965,11618,8.306076777,Divorced,Therapists and healers (nec)
1980,97,5,196,11618,1.687037356,Widowed,Therapists and healers (nec)
1980,97,6,3404,11618,29.29936306,Never married/single,Therapists and healers (nec)
1990,97,1,11386,17818,63.90167247,"Married, spouse present",Therapists and healers (nec)
1990,97,2,136,17818,0.763273095,"Married, spouse absent",Therapists and healers (nec)
1990,97,3,334,17818,1.874508924,Separated,Therapists and healers (nec)
1990,97,4,1726,17818,9.686833539,Divorced,Therapists and healers (nec)
1990,97,5,271,17818,1.520933887,Widowed,Therapists and healers (nec)
1990,97,6,3965,17818,22.25277809,Never married/single,Therapists and healers (nec)
2000,97,1,17073,26052,65.53431598,"Married, spouse present",Therapists and healers (nec)
2000,97,2,295,26052,1.132350683,"Married, spouse absent",Therapists and healers (nec)
2000,97,3,389,26052,1.493167511,Separated,Therapists and healers (nec)
2000,97,4,2687,26052,10.31398741,Divorced,Therapists and healers (nec)
2000,97,5,361,26052,1.385690158,Widowed,Therapists and healers (nec)
2000,97,6,5247,26052,20.14048825,Never married/single,Therapists and healers (nec)
2001,97,1,1749,2647,66.07480166,"Married, spouse present",Therapists and healers (nec)
2001,97,2,17,2647,0.642236494,"Married, spouse absent",Therapists and healers (nec)
2001,97,3,32,2647,1.208915754,Separated,Therapists and healers (nec)
2001,97,4,287,2647,10.84246317,Divorced,Therapists and healers (nec)
2001,97,5,53,2647,2.002266717,Widowed,Therapists and healers (nec)
2001,97,6,509,2647,19.22931621,Never married/single,Therapists and healers (nec)
2002,97,1,1664,2486,66.93483508,"Married, spouse present",Therapists and healers (nec)
2002,97,2,14,2486,0.56315366,"Married, spouse absent",Therapists and healers (nec)
2002,97,3,30,2486,1.206757844,Separated,Therapists and healers (nec)
2002,97,4,270,2486,10.8608206,Divorced,Therapists and healers (nec)
2002,97,5,46,2486,1.850362027,Widowed,Therapists and healers (nec)
2002,97,6,462,2486,18.5840708,Never married/single,Therapists and healers (nec)
2003,97,1,1963,2943,66.7006456,"Married, spouse present",Therapists and healers (nec)
2003,97,2,34,2943,1.155283724,"Married, spouse absent",Therapists and healers (nec)
2003,97,3,45,2943,1.529051988,Separated,Therapists and healers (nec)
2003,97,4,305,2943,10.36357458,Divorced,Therapists and healers (nec)
2003,97,5,43,2943,1.461094122,Widowed,Therapists and healers (nec)
2003,97,6,553,2943,18.79034998,Never married/single,Therapists and healers (nec)
2004,97,1,2058,2956,69.62110961,"Married, spouse present",Therapists and healers (nec)
2004,97,2,21,2956,0.710419486,"Married, spouse absent",Therapists and healers (nec)
2004,97,3,28,2956,0.947225981,Separated,Therapists and healers (nec)
2004,97,4,305,2956,10.31799729,Divorced,Therapists and healers (nec)
2004,97,5,33,2956,1.116373478,Widowed,Therapists and healers (nec)
2004,97,6,511,2956,17.28687415,Never married/single,Therapists and healers (nec)
2005,97,1,4775,7026,67.96185596,"Married, spouse present",Therapists and healers (nec)
2005,97,2,65,7026,0.925135212,"Married, spouse absent",Therapists and healers (nec)
2005,97,3,76,7026,1.081696556,Separated,Therapists and healers (nec)
2005,97,4,738,7026,10.50384287,Divorced,Therapists and healers (nec)
2005,97,5,101,7026,1.437517791,Widowed,Therapists and healers (nec)
2005,97,6,1271,7026,18.08995161,Never married/single,Therapists and healers (nec)
2006,97,1,4796,7027,68.25103173,"Married, spouse present",Therapists and healers (nec)
2006,97,2,60,7027,0.853849438,"Married, spouse absent",Therapists and healers (nec)
2006,97,3,71,7027,1.010388501,Separated,Therapists and healers (nec)
2006,97,4,768,7027,10.9292728,Divorced,Therapists and healers (nec)
2006,97,5,104,7027,1.480005692,Widowed,Therapists and healers (nec)
2006,97,6,1228,7027,17.47545183,Never married/single,Therapists and healers (nec)
2007,97,1,4948,7244,68.30480398,"Married, spouse present",Therapists and healers (nec)
2007,97,2,86,7244,1.187189398,"Married, spouse absent",Therapists and healers (nec)
2007,97,3,95,7244,1.311430149,Separated,Therapists and healers (nec)
2007,97,4,722,7244,9.966869133,Divorced,Therapists and healers (nec)
2007,97,5,113,7244,1.559911651,Widowed,Therapists and healers (nec)
2007,97,6,1280,7244,17.66979569,Never married/single,Therapists and healers (nec)
2008,97,1,5254,7699,68.24262891,"Married, spouse present",Therapists and healers (nec)
2008,97,2,68,7699,0.883231589,"Married, spouse absent",Therapists and healers (nec)
2008,97,3,113,7699,1.467723081,Separated,Therapists and healers (nec)
2008,97,4,823,7699,10.68969996,Divorced,Therapists and healers (nec)
2008,97,5,129,7699,1.675542278,Widowed,Therapists and healers (nec)
2008,97,6,1312,7699,17.04117418,Never married/single,Therapists and healers (nec)
2009,97,1,5048,7424,67.99568966,"Married, spouse present",Therapists and healers (nec)
2009,97,2,90,7424,1.212284483,"Married, spouse absent",Therapists and healers (nec)
2009,97,3,98,7424,1.320043103,Separated,Therapists and healers (nec)
2009,97,4,769,7424,10.35829741,Divorced,Therapists and healers (nec)
2009,97,5,96,7424,1.293103448,Widowed,Therapists and healers (nec)
2009,97,6,1323,7424,17.8205819,Never married/single,Therapists and healers (nec)
2010,97,1,5330,7884,67.60527651,"Married, spouse present",Therapists and healers (nec)
2010,97,2,71,7884,0.900558092,"Married, spouse absent",Therapists and healers (nec)
2010,97,3,86,7884,1.090816844,Separated,Therapists and healers (nec)
2010,97,4,825,7884,10.46423135,Divorced,Therapists and healers (nec)
2010,97,5,135,7884,1.712328767,Widowed,Therapists and healers (nec)
2010,97,6,1437,7884,18.22678843,Never married/single,Therapists and healers (nec)
2011,97,1,5186,7805,66.4445868,"Married, spouse present",Therapists and healers (nec)
2011,97,2,75,7805,0.960922486,"Married, spouse absent",Therapists and healers (nec)
2011,97,3,116,7805,1.486226778,Separated,Therapists and healers (nec)
2011,97,4,858,7805,10.99295324,Divorced,Therapists and healers (nec)
2011,97,5,130,7805,1.665598975,Widowed,Therapists and healers (nec)
2011,97,6,1440,7805,18.44971172,Never married/single,Therapists and healers (nec)
2012,97,1,5457,8216,66.41918208,"Married, spouse present",Therapists and healers (nec)
2012,97,2,80,8216,0.973709834,"Married, spouse absent",Therapists and healers (nec)
2012,97,3,111,8216,1.351022395,Separated,Therapists and healers (nec)
2012,97,4,887,8216,10.79600779,Divorced,Therapists and healers (nec)
2012,97,5,143,8216,1.740506329,Widowed,Therapists and healers (nec)
2012,97,6,1538,8216,18.71957157,Never married/single,Therapists and healers (nec)
2013,97,1,5624,8534,65.90110148,"Married, spouse present",Therapists and healers (nec)
2013,97,2,94,8534,1.101476447,"Married, spouse absent",Therapists and healers (nec)
2013,97,3,112,8534,1.312397469,Separated,Therapists and healers (nec)
2013,97,4,888,8534,10.40543708,Divorced,Therapists and healers (nec)
2013,97,5,135,8534,1.581907663,Widowed,Therapists and healers (nec)
2013,97,6,1681,8534,19.69767987,Never married/single,Therapists and healers (nec)
2014,97,1,5981,9012,66.36706613,"Married, spouse present",Therapists and healers (nec)
2014,97,2,123,9012,1.364846871,"Married, spouse absent",Therapists and healers (nec)
2014,97,3,91,9012,1.009764758,Separated,Therapists and healers (nec)
2014,97,4,952,9012,10.56369285,Divorced,Therapists and healers (nec)
2014,97,5,174,9012,1.930758988,Widowed,Therapists and healers (nec)
2014,97,6,1691,9012,18.7638704,Never married/single,Therapists and healers (nec)
2015,97,1,6003,8982,66.83366733,"Married, spouse present",Therapists and healers (nec)
2015,97,2,110,8982,1.224671565,"Married, spouse absent",Therapists and healers (nec)
2015,97,3,96,8982,1.068804275,Separated,Therapists and healers (nec)
2015,97,4,870,8982,9.686038744,Divorced,Therapists and healers (nec)
2015,97,5,156,8982,1.736806947,Widowed,Therapists and healers (nec)
2015,97,6,1747,8982,19.45001113,Never married/single,Therapists and healers (nec)
2016,97,1,6216,9349,66.48839448,"Married, spouse present",Therapists and healers (nec)
2016,97,2,115,9349,1.230078083,"Married, spouse absent",Therapists and healers (nec)
2016,97,3,103,9349,1.101722109,Separated,Therapists and healers (nec)
2016,97,4,884,9349,9.455556744,Divorced,Therapists and healers (nec)
2016,97,5,166,9349,1.775590972,Widowed,Therapists and healers (nec)
2016,97,6,1865,9349,19.94865761,Never married/single,Therapists and healers (nec)
2017,97,1,6600,9867,66.88963211,"Married, spouse present",Therapists and healers (nec)
2017,97,2,127,9867,1.287118678,"Married, spouse absent",Therapists and healers (nec)
2017,97,3,97,9867,0.983074896,Separated,Therapists and healers (nec)
2017,97,4,934,9867,9.465896422,Divorced,Therapists and healers (nec)
2017,97,5,165,9867,1.672240803,Widowed,Therapists and healers (nec)
2017,97,6,1944,9867,19.70203709,Never married/single,Therapists and healers (nec)
2018,97,1,6782,10201,66.48367807,"Married, spouse present",Therapists and healers (nec)
2018,97,2,121,10201,1.18615822,"Married, spouse absent",Therapists and healers (nec)
2018,97,3,110,10201,1.078325654,Separated,Therapists and healers (nec)
2018,97,4,981,10201,9.616704245,Divorced,Therapists and healers (nec)
2018,97,5,173,10201,1.695912165,Widowed,Therapists and healers (nec)
2018,97,6,2034,10201,19.93922164,Never married/single,Therapists and healers (nec)
2019,97,1,7205,10921,65.97381192,"Married, spouse present",Therapists and healers (nec)
2019,97,2,146,10921,1.336873913,"Married, spouse absent",Therapists and healers (nec)
2019,97,3,96,10921,0.879040381,Separated,Therapists and healers (nec)
2019,97,4,988,10921,9.046790587,Divorced,Therapists and healers (nec)
2019,97,5,192,10921,1.758080762,Widowed,Therapists and healers (nec)
2019,97,6,2294,10921,21.00540244,Never married/single,Therapists and healers (nec)
1880,98,1,185,266,69.54887218,"Married, spouse present",Veterinarians
1880,98,2,7,266,2.631578947,"Married, spouse absent",Veterinarians
1880,98,5,28,266,10.52631579,Widowed,Veterinarians
1880,98,6,46,266,17.29323308,Never married/single,Veterinarians
1900,98,1,267,372,71.77419355,"Married, spouse present",Veterinarians
1900,98,2,18,372,4.838709677,"Married, spouse absent",Veterinarians
1900,98,4,3,372,0.806451613,Divorced,Veterinarians
1900,98,5,18,372,4.838709677,Widowed,Veterinarians
1900,98,6,66,372,17.74193548,Never married/single,Veterinarians
1910,98,1,89,134,66.41791045,"Married, spouse present",Veterinarians
1910,98,2,2,134,1.492537313,"Married, spouse absent",Veterinarians
1910,98,4,3,134,2.23880597,Divorced,Veterinarians
1910,98,5,11,134,8.208955224,Widowed,Veterinarians
1910,98,6,29,134,21.64179104,Never married/single,Veterinarians
1920,98,1,119,150,79.33333333,"Married, spouse present",Veterinarians
1920,98,2,2,150,1.333333333,"Married, spouse absent",Veterinarians
1920,98,4,2,150,1.333333333,Divorced,Veterinarians
1920,98,5,6,150,4,Widowed,Veterinarians
1920,98,6,21,150,14,Never married/single,Veterinarians
1930,98,1,481,602,79.90033223,"Married, spouse present",Veterinarians
1930,98,2,16,602,2.657807309,"Married, spouse absent",Veterinarians
1930,98,4,10,602,1.661129568,Divorced,Veterinarians
1930,98,5,27,602,4.485049834,Widowed,Veterinarians
1930,98,6,68,602,11.29568106,Never married/single,Veterinarians
1940,98,1,97,117,82.90598291,"Married, spouse present",Veterinarians
1940,98,2,3,117,2.564102564,"Married, spouse absent",Veterinarians
1940,98,5,4,117,3.418803419,Widowed,Veterinarians
1940,98,6,13,117,11.11111111,Never married/single,Veterinarians
1950,98,1,151,184,82.06521739,"Married, spouse present",Veterinarians
1950,98,2,1,184,0.543478261,"Married, spouse absent",Veterinarians
1950,98,3,1,184,0.543478261,Separated,Veterinarians
1950,98,5,3,184,1.630434783,Widowed,Veterinarians
1950,98,6,28,184,15.2173913,Never married/single,Veterinarians
1960,98,1,704,790,89.11392405,"Married, spouse present",Veterinarians
1960,98,2,12,790,1.518987342,"Married, spouse absent",Veterinarians
1960,98,3,7,790,0.886075949,Separated,Veterinarians
1960,98,4,6,790,0.759493671,Divorced,Veterinarians
1960,98,5,15,790,1.898734177,Widowed,Veterinarians
1960,98,6,46,790,5.82278481,Never married/single,Veterinarians
1970,98,1,351,411,85.40145985,"Married, spouse present",Veterinarians
1970,98,2,6,411,1.459854015,"Married, spouse absent",Veterinarians
1970,98,3,9,411,2.189781022,Separated,Veterinarians
1970,98,4,5,411,1.216545012,Divorced,Veterinarians
1970,98,5,12,411,2.919708029,Widowed,Veterinarians
1970,98,6,28,411,6.812652068,Never married/single,Veterinarians
1980,98,1,1480,1872,79.05982906,"Married, spouse present",Veterinarians
1980,98,2,8,1872,0.427350427,"Married, spouse absent",Veterinarians
1980,98,3,21,1872,1.121794872,Separated,Veterinarians
1980,98,4,79,1872,4.22008547,Divorced,Veterinarians
1980,98,5,18,1872,0.961538462,Widowed,Veterinarians
1980,98,6,266,1872,14.20940171,Never married/single,Veterinarians
1990,98,1,2145,2789,76.90928648,"Married, spouse present",Veterinarians
1990,98,2,28,2789,1.003944066,"Married, spouse absent",Veterinarians
1990,98,3,26,2789,0.932233776,Separated,Veterinarians
1990,98,4,165,2789,5.91609896,Divorced,Veterinarians
1990,98,5,38,2789,1.362495518,Widowed,Veterinarians
1990,98,6,387,2789,13.8759412,Never married/single,Veterinarians
2000,98,1,2442,3366,72.54901961,"Married, spouse present",Veterinarians
2000,98,2,47,3366,1.396316102,"Married, spouse absent",Veterinarians
2000,98,3,40,3366,1.18835413,Separated,Veterinarians
2000,98,4,273,3366,8.110516934,Divorced,Veterinarians
2000,98,5,35,3366,1.039809863,Widowed,Veterinarians
